Compound ID,Comp Conc. (µM),Chemotype,Pubmed ID,JAK1,TYK2,JAK2,JAK3,FER,FES,ABL-E255K,ABL-H396P,ABL-M351T,ABL-Q252H,ABL-T315I,ABL-Y253F,ABL1,ARG,CSK,BMX,BTK,TXK,TEC,ITK,BRK,SRMS,PTK5,BLK,LCK,HCK,LYNA,LYNB,FGR,FYN,SRC,YES,EPHA2,EPHA4,EPHA3,EPHB4,EPHB3,EPHB2,PYK2,SYK,ZAP70,LTK,ALK,ROS,INSR,IGF1R,IRR,DDR2,MUSK,TRKA,TRKB,TRKC,RON,MET,AXL,MER,TYRO3,RET,RET-V804L,RET-Y791F,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,KDR,FLT4,FMS,KIT,KIT-D816V,KIT-T6701,KIT-V560G,FLT3,FLT-3-D835Y,PDGFR?,PDGFR?-D842V,PDGFR?-T674I,PDGFR?-V561D,PDGFR?.1,TIE2,TNK2,TNK1,EGFR,EGFR-L858R,EGFR-L861Q,EGFR-T790M,EGFR-T790M-L858R,ERBB2,ERBB4,IRAK4,LRRK2,LRRK2-G2019S,CRAF,BRAF,BRAF-V599E,MAP4K2,MST1,MST2,MST4,MAP4K4,MINK,LOK,PAK1,PAK3,PAK2,PAK5,PAK6,MEK1,CK1a,CK1-g2,CK1-g1,CK1-g3,PLK1,GRK7,GRK6,PDK1,MSK1,MSK2,RSK1,RSK2,RSK4,RSK3,P70S6K1,AKT2,AKT1,AKT3,SGK1,SGK3,SGK2,PKC-?,PKC-?.1,PKC-?.2,PKC-?1,PKC-?2,PKC-?.3,PKC-?.4,PRKG2,PRKG1,PRKX,PKA,ROCK1,ROCK2,MRCK-?,MRCK-?.1,AURORA-B,AURORA-C,AURORA-A,CHEK2,DCAMKL2,CAMK4,CAMK1D,PHKG1,PHKG2,CAMK2D,CAMK2A,PRAK,MAPKAPK2,MAPKAPK3,MNK2,MKNK1,PRKD3,PRKD1,PRKD2,MARK4,MARK3,PAR-1B?,MARK1,SNF1LK2 (QIK),SNF1LK (SIK),ARK5,BRSK1,BRSK2,AMPKA1 (A1B1G1),AMPKA2 (A2B1G1),MELK,TSSK2,TSSK1,DAPK1,PIM2,PIM3,PIM1,CHEK1,PASK,NEK1,NEK2,NEK9,NEK7,NEK6,TBK1,IKKE,IKKB,IKKA,CDK5/p35,CDK1/cyclinB,CDK2/cyclinA,CDK2/cyclinE,CDK3/cyclinE,CDK6/cyclinD3,CDK4/cyclinD,JNK2,P38?,P38?.1,P38?.2,P38?.3,MAPK1,MAPK3,GSK3A,GSK3B,SRPK1,MSSK1,CLK3,CLK2,HIPK1,HIPK4,DYRK1B,DYRK1A,DYRK2,CK2,TTK,PI3-K-?,PI3-K-?.1,PI4-K-?,SPHK1,SPHK2,Canonical_SMILES,Changed
Cl.CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(c4)C(F)(F)F)cc3)c2c1,1,04:4-anilino_quinazolines_and_related,12639547,4,-1,3,2,7,3,2,2,1,2,1,1,7,5.0,3,6,2,6,5,3,2,-4,0,4,7,6,2,1,4,3,8,4,0,7,4,2,4,6,2,3,1.0,4,6,4.0,3,3.0,2,6,6.0,5,12,8,3.0,3,-3.0,5.0,2,4.0,5,6.0,5.0,6.0,4.0,1,-1.0,9,2,9,13.0,2,3,6,32.0,4.0,14,2,16,20,10.0,7,3,3.0,64.0,44,35,0,-4,4,26.0,1,6,5,-1,2,0,4,6,6,2,3,4,10,3,5,0,1,-6,0,5,1.0,2,0,4,-1,0,0,2,3,0,2,0,2,2,0.0,-1,2,-2,1,2,2,1,-1,1,2,0,-1,2,2.0,-1,1.0,-1,2,1,3,6,6,2,5,0.0,1,2,3,2,4,2,0,2,3,7,8,2,1,0,2,2,1,2,2,0,2.0,-1,1,2,2,3,1,2,3,0,1,0,5,0,4,1,0,6,3,1,3,2,-1,0,2.0,0,0,-1,3,4,6,3,2,2,2,2,2,5,5,-3,-2,-1,1,0,0,2,-2,1,1,2,0,4,0,1,0,CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)cs1.Cl,True
Cl.COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,1,04:4-anilino_quinazolines_and_related,14684309,3,-1,0,1,5,1,3,5,3,5,3,1,5,5.0,8,3,1,4,4,2,9,1,0,6,7,8,6,5,15,10,9,23,1,6,3,0,2,6,6,-1,2.0,0,1,3.0,3,0.0,2,2,2.0,2,3,1,4.0,2,-5.0,13.0,3,5.0,7,12.0,-2.0,3.0,2.0,3,1.0,3,0,4,10.0,1,2,1,3.0,8.0,12,2,5,4,7.0,5,2,12.0,76.0,46,39,6,4,31,85.0,1,5,13,-10,3,2,2,4,4,-1,7,4,9,3,3,0,-2,-12,2,9,2.0,3,1,0,7,5,0,1,1,1,1,1,1,1,0.0,0,2,5,3,0,-1,5,1,2,2,1,-1,3,2.0,2,1.0,0,1,1,3,22,10,9,14,-8.0,0,1,5,3,2,2,1,-2,5,11,7,3,3,3,0,3,0,4,3,6,-1.0,1,2,1,2,2,2,3,3,1,1,0,3,2,4,1,4,2,2,1,1,4,0,1,2.0,-5,1,-2,1,0,3,10,7,1,2,2,5,4,1,0,1,2,0,3,1,1,4,3,7,4,1,3,1,-3,0,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1.Cl,True
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3cccc(c3)C#C)c2c1,1,04:4-anilino_quinazolines_and_related,14684309,13,-1,1,-4,3,6,20,23,19,23,19,25,27,15.0,8,6,1,8,10,-2,10,5,4,4,14,21,27,22,16,2,18,12,-2,15,5,-2,1,19,10,0,-2.0,28,32,8.0,4,-2.0,2,10,3.0,2,2,5,7.0,8,-8.0,5.0,8,19.0,12,31.0,1.0,2.0,3.0,-2,5.0,20,-13,3,7.0,9,10,4,3.0,1.0,30,12,25,11,21.0,12,7,21.0,85.0,98,98,15,23,30,64.0,2,2,6,-1,6,5,5,8,7,0,20,18,75,7,6,1,4,-3,5,8,2.0,2,0,3,9,7,2,2,3,6,4,4,5,3,-2.0,-3,-1,6,4,4,5,8,0,5,7,5,1,9,7.0,4,0.0,3,7,1,7,2,-6,0,8,-4.0,-2,0,19,7,6,3,3,2,4,32,47,15,25,27,4,6,3,8,28,39,13.0,8,10,6,4,8,3,6,3,-1,36,40,5,4,9,6,10,3,4,8,9,9,12,-3,-3.0,-1,1,-3,0,1,5,14,7,5,4,5,6,2,2,-1,-2,-2,1,-1,25,-1,5,7,9,10,5,6,-1,-1,0,C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,True
Cl.Fc1cc(Nc2ncnc3ccc(cc23)-c2ccc(CN3CCS(=O)CC3)o2)ccc1OCc1ccccc1,1,04:4-anilino_quinazolines_and_related,16777410,1,-4,1,0,6,3,3,1,0,1,-1,-1,6,4.0,-4,6,2,3,5,2,6,-3,1,6,8,7,5,1,10,9,9,31,0,-2,4,2,2,0,-3,0,1.0,3,5,2.0,4,3.0,2,1,3.0,1,2,2,8.0,1,-2.0,82.0,3,9.0,5,6.0,-2.0,4.0,3.0,0,-1.0,6,0,3,3.0,-2,1,-3,2.0,2.0,4,1,4,4,3.0,2,0,7.0,91.0,85,69,11,1,75,89.0,1,3,8,-3,6,6,2,2,3,5,0,1,7,5,2,0,-2,-1,3,4,3.0,3,4,1,-1,-2,1,1,2,-1,-1,0,2,1,1.0,0,1,1,2,-1,0,0,2,0,1,-1,1,3,3.0,-2,1.0,2,0,1,0,4,7,6,8,4.0,1,1,-5,1,2,2,0,0,4,9,4,3,4,4,1,1,1,3,5,4,2.0,5,6,0,-23,2,-1,0,3,0,-2,0,4,-1,2,3,4,2,-1,3,1,0,1,0,0.0,-1,3,0,-1,2,5,9,6,3,3,3,0,3,2,-4,-1,11,1,3,6,1,3,3,2,13,3,5,-1,-3,-10,Cl.O=S1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)o2)CC1,True
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(c3)C(F)(F)F)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,13,-4,1,0,2,3,3,4,1,2,4,3,3,4.0,2,4,-1,3,4,1,5,-1,3,4,4,5,7,5,2,2,8,5,1,7,2,0,4,4,10,1,-3.0,3,3,4.0,6,2.0,3,1,3.0,-1,3,3,5.0,4,-5.0,1.0,4,4.0,5,4.0,2.0,5.0,3.0,0,-1.0,4,-1,-1,5.0,3,5,-1,1.0,4.0,7,4,6,3,2.0,6,1,10.0,66.0,46,41,3,-2,7,17.0,2,2,3,12,6,6,2,5,5,-1,8,7,7,8,4,2,0,-12,5,2,4.0,5,2,4,9,5,1,9,2,2,2,1,3,2,1.0,1,3,3,5,2,5,4,1,2,2,3,1,3,5.0,4,3.0,2,5,1,2,-2,-2,3,8,1.0,0,1,4,5,3,3,2,5,11,10,10,4,4,5,0,-3,0,3,11,10,1.0,-2,4,3,4,3,4,6,12,1,0,1,12,0,4,4,10,4,4,4,3,5,5,0,2.0,-1,3,-3,-3,2,5,12,9,5,3,5,3,0,0,0,-1,1,0,-3,-1,-1,2,3,6,7,7,8,-2,-2,1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,True
Cl.CCCN(CCS(C)(=O)=O)Cc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,5,-1,3,3,5,1,3,2,4,3,2,3,6,5.0,6,4,0,3,5,1,8,2,2,4,6,9,8,6,8,2,6,9,0,6,2,1,2,5,-1,1,2.0,5,5,7.0,5,2.0,2,2,2.0,0,1,2,4.0,5,0.0,7.0,2,8.0,5,2.0,3.0,2.0,2.0,4,1.0,9,0,1,5.0,4,4,3,2.0,1.0,16,6,5,7,9.0,6,1,12.0,78.0,95,88,9,4,82,79.0,1,5,7,0,4,4,3,4,2,3,11,8,6,4,2,1,10,0,2,4,3.0,2,1,2,1,2,2,7,2,1,0,0,1,2,1.0,1,1,2,1,-1,4,3,1,1,2,1,-1,1,1.0,1,1.0,0,2,1,1,8,5,12,6,0.0,2,2,3,1,2,1,0,3,8,11,10,3,3,2,0,0,0,0,8,6,5.0,4,7,2,3,3,0,1,9,1,2,1,7,0,3,4,4,3,1,5,1,0,3,7,8.0,-2,7,-1,7,5,5,4,1,3,1,3,3,9,10,-1,-1,4,1,12,9,10,11,2,9,6,4,6,0,0,1,CCCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cl,True
C(Oc1ccc(Nc2ncnc3ccc(cc23)-c2ccco2)cc1)c1ccccc1,1,04:4-anilino_quinazolines_and_related,16777410,2,-2,-1,0,4,2,0,1,2,0,1,0,1,4.0,2,2,2,1,3,1,2,1,1,4,4,2,3,2,8,4,2,13,0,3,1,2,4,1,2,0,0.0,2,2,3.0,1,-1.0,0,1,1.0,-2,3,1,8.0,3,2.0,13.0,2,3.0,3,1.0,-8.0,8.0,8.0,1,0.0,0,1,1,0.0,0,-1,2,3.0,-1.0,7,3,4,2,1.0,3,0,5.0,86.0,39,36,5,-2,20,79.0,1,4,2,6,2,3,3,1,2,1,6,3,5,4,1,0,-4,1,2,1,1.0,1,2,1,5,5,1,-1,2,1,3,-1,0,0,0.0,0,2,1,1,2,0,1,0,0,1,-1,-1,1,1.0,1,2.0,0,0,-1,-2,5,6,4,5,0.0,0,12,5,2,0,0,0,0,0,8,6,1,1,3,2,3,1,2,1,7,-2.0,1,2,2,3,-4,0,1,1,1,1,0,-1,2,1,1,5,2,0,1,3,0,0,2,2.0,1,2,-2,-2,3,1,3,0,-1,1,-3,1,2,2,-2,-1,0,-1,-4,2,0,4,-2,4,3,3,5,-1,1,1,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,True
Cl.CS(=O)(=O)CCNCc1coc(c1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,1,1,2,1,1,4,0,4,2,4,4,3,7,4.0,5,6,3,4,6,2,11,3,0,11,14,10,9,7,15,12,11,26,0,6,5,4,4,7,3,4,2.0,11,10,4.0,3,2.0,3,2,5.0,5,4,5,2.0,10,0.0,30.0,3,9.0,5,8.0,3.0,4.0,4.0,1,2.0,7,3,7,8.0,2,3,3,10.0,4.0,11,5,7,13,6.0,4,2,8.0,92.0,82,76,10,5,59,94.0,2,6,6,2,6,3,4,3,4,3,7,5,6,5,3,0,3,-5,3,4,2.0,2,1,5,5,12,4,2,3,3,3,2,3,3,1.0,0,3,2,2,2,4,5,2,-1,1,1,1,3,3.0,1,2.0,1,1,1,1,10,9,5,29,1.0,3,2,6,4,4,6,1,2,1,14,10,3,3,2,1,4,2,2,6,8,4.0,-2,3,3,4,7,3,4,2,0,3,1,3,1,3,2,15,4,2,2,5,5,3,2,2.0,2,3,-2,4,3,3,5,5,2,3,3,4,5,6,-3,0,1,2,3,9,2,2,5,7,3,3,0,-4,-1,-1,CS(=O)(=O)CCNCc1coc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)c1.Cl,True
Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,6,-3,0,-1,0,4,3,5,5,5,5,4,6,5.0,9,9,6,3,7,2,14,3,1,14,22,14,10,8,20,15,12,42,1,11,6,3,5,8,7,-1,3.0,5,3,9.0,3,2.0,2,2,1.0,3,5,5,4.0,4,-2.0,44.0,4,10.0,12,10.0,4.0,4.0,4.0,0,3.0,7,5,6,9.0,2,5,1,7.0,-1.0,10,4,5,8,5.0,4,3,17.0,94.0,71,56,12,4,73,97.0,2,7,7,2,6,3,2,4,4,1,7,6,8,6,3,-1,3,0,3,2,3.0,3,1,4,5,3,3,1,3,4,3,1,4,3,2.0,1,2,2,2,2,4,3,1,0,1,2,2,3,2.0,1,2.0,2,2,1,-3,10,8,8,13,1.0,0,1,5,4,2,-1,1,1,2,16,7,4,4,3,1,0,2,2,6,9,1.0,1,4,3,5,4,2,4,1,1,2,1,0,1,2,3,16,4,3,3,5,5,4,2,-5.0,3,4,-1,1,3,2,7,5,1,3,4,2,3,3,-3,1,0,1,3,5,2,4,3,4,7,5,3,0,-4,0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)o1.Cl,True
Cl.CS(=O)(=O)CCNCc1ccoc1-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,-1,0,-1,1,2,0,0,0,0,2,1,-1,1,3.0,5,3,1,2,3,1,8,-1,1,8,8,6,4,4,13,8,5,22,-2,6,2,2,3,8,2,0,2.0,1,1,2.0,1,-1.0,0,7,3.0,2,4,2,-2.0,5,2.0,25.0,4,0.0,10,10.0,2.0,3.0,4.0,2,0.0,6,3,6,7.0,2,2,4,7.0,2.0,15,2,9,8,5.0,5,1,6.0,86.0,51,42,5,-1,51,80.0,1,4,3,-2,1,1,1,3,3,-1,4,3,4,-1,0,-2,4,-2,2,0,1.0,1,0,3,-1,2,1,-2,-1,0,0,-1,1,-1,0.0,0,2,1,1,-3,-1,1,0,-5,1,0,-1,-1,1.0,0,1.0,-1,0,-2,-3,8,9,6,9,0.0,-1,0,3,0,0,0,1,-1,0,6,4,1,2,2,0,-2,-2,1,-1,4,2.0,-1,1,-1,1,-1,1,1,-1,0,-1,-1,-3,0,2,1,2,1,1,-2,0,0,8,1,1.0,3,3,-1,5,3,2,1,2,-1,0,2,1,5,4,-2,-1,-1,-3,0,3,0,2,-2,2,6,3,5,-1,5,1,CS(=O)(=O)CCNCc1ccoc1-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1.Cl,True
Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)-c3ccc(COCCS(=O)(=O)c4ccccc4)o3)cc2Cl)c1,1,04:4-anilino_quinazolines_and_related,16777410,2,0,0,3,-1,1,0,2,1,3,0,1,5,7.0,1,1,-1,3,1,1,2,-3,1,2,3,6,3,0,2,1,0,3,-2,6,1,1,3,7,9,1,1.0,3,4,4.0,3,9.0,0,4,5.0,4,3,0,1.0,8,1.0,6.0,0,5.0,10,7.0,5.0,4.0,6.0,0,1.0,8,14,7,1.0,-2,1,-2,2.0,-7.0,10,2,9,4,7.0,2,-1,5.0,85.0,77,68,2,2,70,83.0,1,9,10,-1,3,3,3,8,6,0,7,6,5,6,2,1,-1,-7,3,0,2.0,1,0,3,5,1,1,1,0,1,1,-1,1,0,1.0,0,3,2,1,-1,1,2,1,-1,2,0,0,3,2.0,1,0.0,4,6,1,0,8,6,2,3,1.0,-2,0,5,-1,1,-1,0,1,2,5,4,2,2,2,4,1,3,3,1,6,-1.0,1,3,1,2,7,2,3,1,2,2,2,3,0,2,2,1,6,1,3,1,1,4,6,5.0,3,6,-3,4,5,1,1,-1,2,4,4,2,6,6,-2,1,0,1,3,6,3,2,2,5,11,13,10,0,1,14,O=S(=O)(CCOCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,True
Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,2,2,1,2,10,0,1,3,3,3,2,2,4,6.0,6,4,0,1,1,1,15,-1,2,8,10,6,6,5,12,9,4,39,-2,10,2,2,3,12,6,2,0.0,4,5,4.0,1,-1.0,-1,9,4.0,5,3,2,5.0,7,1.0,31.0,2,10.0,12,12.0,4.0,5.0,5.0,0,1.0,14,3,10,2.0,3,1,1,3.0,0.0,9,2,11,5,6.0,10,1,11.0,86.0,94,88,18,2,70,88.0,1,8,8,-2,1,1,8,3,0,0,3,2,9,7,0,0,-9,-14,2,0,0.0,0,-1,3,-3,1,-2,-7,2,3,2,0,3,2,0.0,-1,-1,2,2,0,-2,1,0,-3,0,0,1,1,2.0,1,1.0,4,6,1,-1,10,8,1,-4,3.0,1,1,6,-2,2,-2,0,-3,-5,10,6,0,0,-1,2,2,4,2,-4,4,2.0,0,2,0,0,3,1,2,-11,1,2,2,-7,0,3,0,4,3,-1,3,0,0,2,4,4.0,4,5,-1,-2,4,1,3,1,2,6,1,1,4,4,2,5,0,2,3,7,3,2,1,2,6,0,-1,4,3,-2,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1.Cl,True
Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(c3)C(F)(F)F)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,4,-4,0,-2,2,3,3,4,1,2,2,3,5,5.0,4,2,1,4,3,2,4,-2,2,4,6,6,10,2,5,5,8,8,1,8,3,4,4,5,7,-6,2.0,4,4,7.0,3,0.0,3,2,0.0,-1,3,1,-5.0,6,-6.0,2.0,6,2.0,4,7.0,5.0,6.0,6.0,2,0.0,5,1,2,5.0,5,2,-3,2.0,-3.0,7,2,5,1,2.0,4,2,10.0,71.0,50,42,2,1,10,33.0,1,4,5,0,4,3,1,4,4,-3,5,6,8,8,4,1,4,-7,4,1,4.0,8,3,2,3,1,-2,7,1,2,2,1,3,1,2.0,1,3,3,4,1,5,0,0,1,2,2,3,0,1.0,2,2.0,2,2,-1,-2,3,3,3,8,2.0,-1,4,6,5,2,-2,2,4,11,5,4,4,6,2,4,4,1,4,2,6,0.0,4,4,3,4,2,1,4,11,1,0,1,11,1,2,5,7,4,-1,1,5,10,1,2,2.0,8,5,-4,-4,4,1,3,5,2,3,5,3,4,4,-2,-1,0,-2,0,-2,-1,5,1,5,10,5,2,1,4,1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(C(F)(F)F)c4)c3c2)o1.Cl,True
Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(Br)c3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,3,-4,-1,-6,5,2,2,5,2,4,2,4,3,4.0,5,0,0,2,1,-3,12,2,3,3,5,10,8,6,11,1,7,21,-2,11,1,0,0,7,10,-5,-2.0,5,2,10.0,1,-5.0,3,1,-2.0,1,4,1,6.0,7,-8.0,14.0,3,5.0,4,15.0,4.0,4.0,2.0,-1,2.0,11,-10,6,4.0,2,2,-1,1.0,0.0,13,4,6,6,7.0,5,2,15.0,82.0,91,84,16,-1,74,80.0,2,-6,0,4,4,2,0,3,5,-1,6,5,16,9,4,2,0,-8,2,1,0.0,0,-2,4,0,2,-3,-2,1,0,-1,-1,1,1,-3.0,-2,-1,0,3,1,5,0,-3,-1,1,2,3,1,1.0,3,-2.0,2,1,-1,-3,4,2,-2,3,-2.0,-2,-1,3,5,3,-2,2,0,2,8,6,-1,0,-2,2,0,-1,2,4,8,1.0,2,2,1,-1,5,1,3,2,-3,0,0,2,0,2,4,6,5,4,1,5,11,2,-2,-3.0,-1,0,-4,-5,-1,1,5,5,4,3,4,4,-1,-2,-2,-1,-4,-1,-5,3,-4,-3,1,5,10,2,3,0,-1,-2,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Br)c4)c3c2)o1.Cl,True
OC(=O)C(F)(F)F.Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)-c3ccc(CN4CCS(=O)CC4)o3)cc2Cl)c1,1,04:4-anilino_quinazolines_and_related,16777410,9,-4,1,0,5,5,7,6,8,7,3,4,6,7.0,5,8,1,5,5,2,7,-2,5,8,8,10,9,8,6,6,10,21,1,12,2,4,7,8,12,0,4.0,7,8,2.0,5,6.0,4,2,3.0,3,3,3,7.0,11,-4.0,31.0,19,8.0,17,10.0,9.0,10.0,7.0,0,0.0,8,8,6,10.0,4,5,0,5.0,0.0,13,7,7,8,8.0,5,1,12.0,84.0,99,96,22,6,80,91.0,2,4,11,-3,8,5,5,8,9,2,10,8,16,11,6,3,2,-4,5,4,5.0,5,2,5,3,5,3,4,5,4,1,2,3,4,4.0,0,3,4,4,3,4,1,1,2,3,3,2,6,4.0,3,3.0,4,5,0,-1,9,6,5,3,2.0,2,1,9,7,4,0,2,2,7,7,6,7,11,7,4,2,3,4,10,12,3.0,3,5,6,6,6,3,5,6,0,1,2,11,0,4,8,12,8,2,5,7,8,9,4,-1.0,4,7,-2,4,7,1,15,7,3,4,6,4,5,5,-2,-1,1,0,2,1,2,4,4,4,14,7,7,-8,1,1,O=C(O)C(F)(F)F.O=S1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,True
Cl.Clc1cc(Nc2ncnc3ccc(cc23)-c2ccc(CN3CCS(=O)CC3)o2)ccc1OCc1ccccc1,1,04:4-anilino_quinazolines_and_related,16777410,3,-1,0,0,4,2,1,3,3,4,1,2,4,3.0,2,2,-1,3,1,1,11,-2,1,7,6,4,6,3,9,5,6,39,-3,4,-2,0,2,5,1,0,2.0,8,9,4.0,4,11.0,1,2,1.0,4,2,0,2.0,5,0.0,48.0,3,3.0,3,5.0,1.0,4.0,3.0,-1,1.0,4,12,0,1.0,-2,5,-2,2.0,-2.0,12,2,8,6,4.0,1,0,10.0,77.0,94,91,27,6,73,84.0,1,3,5,-1,4,3,2,2,0,2,3,1,12,4,2,0,2,-2,3,3,2.0,2,4,3,-2,1,8,1,0,1,1,-1,1,0,1.0,0,2,2,1,1,2,3,1,1,3,1,2,3,1.0,1,8.0,2,1,0,-1,5,2,3,3,2.0,-1,0,3,0,1,-1,0,0,9,9,6,2,3,2,2,2,2,2,6,8,-3.0,0,3,1,1,6,1,3,1,0,1,1,0,-1,1,0,3,6,2,2,2,2,-2,1,1.0,2,2,-1,0,3,2,21,6,0,2,4,2,1,1,-3,0,-1,0,0,2,1,3,0,3,8,1,2,-1,1,2,Cl.O=S1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(Cl)c5)c4c3)o2)CC1,True
Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(c4)C(F)(F)F)cc3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,1,-4,3,0,1,4,3,4,1,5,2,4,9,8.0,3,6,0,6,5,1,3,-3,3,6,8,12,5,3,4,0,16,5,1,9,2,2,4,6,13,0,0.0,5,5,9.0,3,12.0,3,3,9.0,7,18,10,3.0,5,-5.0,7.0,1,3.0,8,7.0,11.0,14.0,11.0,2,3.0,11,15,9,11.0,0,5,-2,29.0,1.0,16,2,12,15,14.0,5,1,5.0,59.0,27,34,2,4,4,28.0,3,6,8,-2,9,6,2,6,5,0,6,4,12,7,10,3,5,-9,5,6,4.0,5,2,7,0,4,3,4,2,2,4,2,3,3,2.0,0,3,2,2,3,5,0,2,0,3,5,3,7,5.0,1,5.0,3,4,2,5,5,5,5,5,2.0,0,1,5,5,8,2,1,4,8,5,6,6,6,4,3,4,5,4,8,7,7.0,4,9,6,3,11,2,4,6,0,4,3,8,-1,8,7,3,8,5,6,5,9,5,0,0.0,2,3,1,2,3,8,14,5,6,6,6,5,1,3,-2,0,1,2,3,7,1,5,6,5,8,4,2,0,0,0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1.Cl,True
CS(=O)(=O)CCN(CC#N)Cc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,1,04:4-anilino_quinazolines_and_related,16777410,1,-4,1,-5,1,0,1,2,0,0,0,2,-3,-2.0,5,4,-5,-3,-2,-3,5,-2,2,-3,-4,3,3,2,2,-4,4,2,-5,6,-2,-3,-1,5,9,2,-1.0,2,0,4.0,3,-4.0,1,1,2.0,4,3,1,0.0,3,-5.0,2.0,2,3.0,3,3.0,-4.0,-2.0,0.0,-4,6.0,8,-8,5,1.0,3,1,-2,2.0,0.0,10,4,6,4,6.0,2,0,23.0,77.0,84,76,5,1,67,74.0,1,-8,-2,-3,2,2,-1,0,2,0,5,4,7,5,4,0,-1,-8,0,3,-2.0,-3,-4,3,2,3,1,-1,2,0,-2,-1,0,0,-3.0,-3,-1,1,3,-1,1,0,-3,-2,1,1,1,1,3.0,2,-3.0,1,0,0,-2,1,1,0,2,-3.0,0,-1,5,2,2,-2,1,1,0,11,6,-3,-3,-5,0,0,-1,0,0,9,2.0,-3,1,0,-1,8,1,2,-2,-4,0,-1,3,-1,2,2,3,7,0,2,2,4,2,-2,-3.0,-3,-4,-3,-5,-1,2,4,1,2,3,2,2,0,0,-1,-1,-4,1,-4,3,-3,0,1,2,6,4,4,3,0,-1,CS(=O)(=O)CCN(CC#N)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,True
